sample_id,peak_dT,mean_dT_day,mean_dT_night,hour_of_peak,dT_stability,day_night_ratio,loading_pct,variant,filler_type_Type_A,filler_type_Type_B,filler_type_Type_C,filler_type_Type_D,filler_type_Type_E
S01,-0.5257961394316766,-0.23412761742943156,-0.036746553473482026,11.3,0.1274989397053255,6.3712436692794805,0,1,0,0,0,1,0
S02,-0.721247207394196,-0.3721225380415524,-0.07463837630003217,11.366666666666667,0.18746550157177277,4.985606210664329,0,2,0,0,0,1,0
S03,-1.0440758170958129,-0.5685351368509088,-0.10156726267531369,12.1,0.27718944574666127,5.597566817386276,100,1,1,0,0,0,0
S04,-0.4570310986297983,-0.18723570555252864,-0.030656637915735058,12.633333333333333,0.10906266360030714,6.107310226155087,5,1,0,1,0,0,0
S05,-0.6962351175758243,-0.3391265558596651,-0.058924812014657706,10.966666666666667,0.17238306003903378,5.755144380111519,10,1,0,1,0,0,0
S06,-0.9493280433067142,-0.5062807094740561,-0.0892449288007379,11.9,0.2522514775731217,5.672871763197675,20,1,0,1,0,0,0
S07,-1.26622978986682,-0.6868687935735621,-0.13050107647177323,11.433333333333334,0.33092661531502376,5.263278655356319,30,1,0,1,0,0,0
S08,-0.1004161542690305,0.1720861782969616,0.029941703922580207,3.783333333333333,0.10447701674584446,5.747182309984671,20,1,0,0,1,0,0
S09,-0.0413875177043792,1.038890709108758,0.09486046534077314,22.733333333333334,0.5603429611161762,10.951662040816318,20,2,0,0,1,0,0
S10,-0.4139064300721493,-0.121640775161539,-0.022467543807989453,12.7,0.08505520551728228,5.4138254886943535,20,1,1,0,0,0,0
S11,-0.2923147286967804,-0.08249381845982796,-0.006332335126985699,10.0,0.07448493367205189,13.02533606793207,20,2,1,0,0,0,0
S12,-0.4679753867283871,-0.203968494717428,-0.03854577639908083,10.233333333333333,0.11620743745566549,5.291454014356743,20,3,1,0,0,0,0
S13,-0.8307591083476673,-0.42038063343291093,-0.0812786548846614,11.083333333333334,0.20892380633139082,5.172027785175089,20,1,0,0,0,0,1
S14,-0.0552056096445561,0.23443265853825876,0.03781206108840219,21.016666666666666,0.12833537228661052,6.199779964657837,20,3,0,0,1,0,0
S15,-0.0421797155245755,1.2673847293366602,0.1133237301924292,20.5,0.6818414775402019,11.183655387351008,20,4,0,0,1,0,0
S16,-0.6198720228631878,-0.31079135779320144,-0.06246241162094571,12.8,0.16153887178583168,4.975574495981973,20,2,0,1,0,0,0
S17,-0.0993772617641397,0.1109791228791943,0.018264267715728703,2.183333333333333,0.07694826349516924,6.07596475487886,20,5,0,0,1,0,0
S18,-0.9136465981507342,-0.46383176716509855,-0.09156964651158167,12.733333333333333,0.23017594145485257,5.065288767033375,20,3,0,1,0,0,0
S19,-0.5618885316570257,-0.26203512370766224,-0.051640722597533335,12.366666666666667,0.13817516386851125,5.074097271111912,20,4,0,1,0,0,0
